pyproj.__version__ = 3.4.1
         2678 function calls (2617 primitive calls) in 0.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.335    0.168    0.335    0.168 {method '_transform' of 'pyproj._transformer._Transformer' objects}
        1    0.096    0.096    0.096    0.096 {pyproj._transformer.from_crs}
        2    0.011    0.005    0.011    0.005 {built-in method shapely.lib.set_coordinates}
        2    0.005    0.002    0.005    0.002 {built-in method shapely.lib.get_coordinates}
        8    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
        3    0.002    0.001    0.002    0.001 {built-in method numpy.array}
        1    0.001    0.001    0.457    0.457 <string>:1(<module>)
        1    0.001    0.001    0.455    0.455 geoseries.py:1047(to_crs)
        1    0.001    0.001    0.001    0.001 crs.py:183(__init__)
        1    0.000    0.000    0.000    0.000 predicates.py:41(has_z)
        1    0.000    0.000    0.454    0.454 array.py:692(to_crs)
        2    0.000    0.000    0.000    0.000 {built-in method shapely.lib.count_coordinates}
        1    0.000    0.000    0.357    0.357 _vectorized.py:1098(transform)
        9    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       15    0.000    0.000    0.000    0.000 series.py:342(__init__)
  510/496    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.457    0.457 {built-in method builtins.exec}
       16    0.000    0.000    0.000    0.000 generic.py:259(__init__)
       29    0.000    0.000    0.000    0.000 generic.py:5904(__setattr__)
        5    0.000    0.000    0.002    0.000 utils.py:88(_copytobuffer)
        8    0.000    0.000    0.000    0.000 geoseries.py:154(__init__)
   138/95    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.338    0.169 transformer.py:690(transform)
        8    0.000    0.000    0.000    0.000 frame.py:3758(__getitem__)
       36    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
  108/105    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 geodataframe.py:133(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       55    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.013    0.006 coordinates.py:141(set_coordinates)
       19    0.000    0.000    0.000    0.000 base.py:5254(__contains__)
       59    0.000    0.000    0.000    0.000 generic.py:45(_instancecheck)
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       23    0.000    0.000    0.000    0.000 base.py:135(crs)
        4    0.000    0.000    0.000    0.000 construction.py:493(sanitize_array)
        1    0.000    0.000    0.000    0.000 {pyproj._crs.is_proj}
       32    0.000    0.000    0.000    0.000 managers.py:2058(dtype)
        1    0.000    0.000    0.000    0.000 decorators.py:62(wrapped)
        5    0.000    0.000    0.000    0.000 generic.py:5844(__finalize__)
       59    0.000    0.000    0.000    0.000 generic.py:40(_check)
       27    0.000    0.000    0.000    0.000 managers.py:2065(external_values)
       15    0.000    0.000    0.000    0.000 generic.py:5888(__getattr__)
        3    0.000    0.000    0.000    0.000 managers.py:1183(iset)
        8    0.000    0.000    0.000    0.000 geodataframe.py:1409(__getitem__)
       14    0.000    0.000    0.000    0.000 series.py:661(name)
       12    0.000    0.000    0.000    0.000 series.py:565(_set_axis)
       27    0.000    0.000    0.000    0.000 blocks.py:2370(external_values)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       25    0.000    0.000    0.000    0.000 series.py:611(name)
        2    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
       12    0.000    0.000    0.000    0.000 base.py:7372(maybe_extract_name)
       32    0.000    0.000    0.000    0.000 series.py:596(dtype)
        2    0.000    0.000    0.000    0.000 geodataframe.py:244(set_geometry)
       27    0.000    0.000    0.000    0.000 blocks.py:196(external_values)
        3    0.000    0.000    0.000    0.000 blocks.py:2172(new_block)
        6    0.000    0.000    0.000    0.000 config.py:116(_get_single_key)
       27    0.000    0.000    0.000    0.000 series.py:666(values)
        3    0.000    0.000    0.000    0.000 managers.py:1129(iget)
        3    0.000    0.000    0.000    0.000 frame.py:3955(__setitem__)
       35    0.000    0.000    0.000    0.000 inference.py:325(is_hashable)
        5    0.000    0.000    0.000    0.000 utils.py:145(_convertback)
        4    0.000    0.000    0.000    0.000 geodataframe.py:1518(_geodataframe_constructor_sliced)
       38    0.000    0.000    0.000    0.000 base.py:925(__len__)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        6    0.000    0.000    0.000    0.000 config.py:597(_get_root)
        3    0.000    0.000    0.000    0.000 frame.py:4892(_sanitize_column)
        5    0.000    0.000    0.000    0.000 array.py:272(__init__)
       20    0.000    0.000    0.000    0.000 array.py:957(ndim)
        8    0.000    0.000    0.000    0.000 frame.py:4274(_get_item_cache)
       16    0.000    0.000    0.000    0.000 flags.py:49(__init__)
        3    0.000    0.000    0.000    0.000 geodataframe.py:1430(__setitem__)
        3    0.000    0.000    0.000    0.000 frame.py:4139(_set_item_mgr)
        4    0.000    0.000    0.000    0.000 exceptions.py:19(clear)
        6    0.000    0.000    0.000    0.000 blocks.py:2120(get_block_type)
       27    0.000    0.000    0.000    0.000 array.py:953(shape)
        3    0.000    0.000    0.000    0.000 frame.py:4164(_set_item)
       12    0.000    0.000    0.000    0.000 construction.py:861(is_empty_data)
        2    0.000    0.000    0.000    0.000 {pandas._libs.ops.scalar_compare}
       12    0.000    0.000    0.000    0.000 managers.py:228(set_axis)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
       18    0.000    0.000    0.000    0.000 base.py:13(is_geometry_type)
        1    0.000    0.000    0.096    0.096 transformer.py:314(__init__)
       12    0.000    0.000    0.000    0.000 base.py:58(_validate_set_axis)
        3    0.000    0.000    0.000    0.000 managers.py:1339(_iset_single)
        2    0.000    0.000    0.005    0.002 coordinates.py:93(get_coordinates)
       14    0.000    0.000    0.000    0.000 common.py:1725(validate_all_hashable)
        6    0.000    0.000    0.000    0.000 geodataframe.py:40(_ensure_geometry)
        6    0.000    0.000    0.000    0.000 base.py:3754(get_loc)
       12    0.000    0.000    0.000    0.000 config.py:611(_get_deprecated_option)
        2    0.000    0.000    0.000    0.000 base.py:690(_simple_new)
        1    0.000    0.000    0.000    0.000 managers.py:301(apply)
        3    0.000    0.000    0.000    0.000 frame.py:3703(_ixs)
        6    0.000    0.000    0.000    0.000 managers.py:1891(__init__)
        1    0.000    0.000    0.000    0.000 geodataframe.py:235(_set_geometry)
        2    0.000    0.000    0.000    0.000 crs.py:961(equals)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       28    0.000    0.000    0.000    0.000 common.py:1744(<genexpr>)
        6    0.000    0.000    0.000    0.000 config.py:134(_get_option)
        6    0.000    0.000    0.000    0.000 base.py:5304(__getitem__)
        1    0.000    0.000    0.096    0.096 transformer.py:541(from_crs)
        2    0.000    0.000    0.000    0.000 transformer.py:337(_transformer)
        3    0.000    0.000    0.000    0.000 frame.py:4132(_iset_item_mgr)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        3    0.000    0.000    0.000    0.000 managers.py:1934(from_array)
        1    0.000    0.000    0.000    0.000 base.py:6941(_cmp_method)
        4    0.000    0.000    0.000    0.000 geodataframe.py:204(_get_geometry)
        3    0.000    0.000    0.000    0.000 frame.py:4257(_box_col_values)
        4    0.000    0.000    0.000    0.000 inference.py:266(is_dict_like)
        7    0.000    0.000    0.000    0.000 common.py:162(is_object_dtype)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        8    0.000    0.000    0.000    0.000 indexing.py:2656(check_deprecated_indexers)
       27    0.000    0.000    0.000    0.000 array.py:949(size)
        2    0.000    0.000    0.000    0.000 array_ops.py:60(comp_method_OBJECT_ARRAY)
        4    0.000    0.000    0.000    0.000 array.py:961(copy)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
        1    0.000    0.000    0.000    0.000 nanops.py:83(_f)
       15    0.000    0.000    0.000    0.000 base.py:7277(ensure_index)
        5    0.000    0.000    0.000    0.000 array.py:336(crs)
        2    0.000    0.000    0.000    0.000 {method 'equals' of 'pyproj._crs._CRS' objects}
        3    0.000    0.000    0.000    0.000 blocks.py:2161(new_block_2d)
       10    0.000    0.000    0.000    0.000 common.py:1591(_is_dtype_type)
        1    0.000    0.000    0.000    0.000 series.py:6233(_cmp_method)
        2    0.000    0.000    0.000    0.000 enums.py:13(create)
        1    0.000    0.000    0.001    0.001 generic.py:6258(copy)
        4    0.000    0.000    0.000    0.000 generic.py:1997(__contains__)
        1    0.000    0.000    0.000    0.000 managers.py:616(copy)
      3/2    0.000    0.000    0.000    0.000 geodataframe.py:197(__setattr__)
        2    0.000    0.000    0.000    0.000 blocks.py:544(copy)
        6    0.000    0.000    0.000    0.000 blocks.py:2091(maybe_coerce_values)
        2    0.000    0.000    0.000    0.000 common.py:57(new_method)
        6    0.000    0.000    0.000    0.000 config.py:262(__call__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
       31    0.000    0.000    0.000    0.000 array.py:322(crs)
        1    0.000    0.000    0.000    0.000 array_ops.py:231(comparison_op)
        3    0.000    0.000    0.000    0.000 generic.py:4137(_check_setitem_copy)
        3    0.000    0.000    0.000    0.000 blocks.py:2186(check_ndim)
        3    0.000    0.000    0.000    0.000 base.py:5363(_can_hold_identifiers_and_holds_name)
        2    0.000    0.000    0.000    0.000 frame.py:12012(_reindex_for_setitem)
       11    0.000    0.000    0.000    0.000 generic.py:640(_info_axis)
       14    0.000    0.000    0.000    0.000 inference.py:292(<genexpr>)
        2    0.000    0.000    0.000    0.000 construction.py:744(_try_cast)
        1    0.000    0.000    0.001    0.001 geodataframe.py:26(_geodataframe_constructor_with_fallback)
       11    0.000    0.000    0.001    0.000 crs.py:475(from_user_input)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 nanops.py:261(_get_values)
        1    0.000    0.000    0.000    0.000 series.py:4773(_reduce)
        1    0.000    0.000    0.000    0.000 decorators.py:64(<listcomp>)
       20    0.000    0.000    0.000    0.000 array.py:354(dtype)
        7    0.000    0.000    0.000    0.000 construction.py:399(extract_array)
        1    0.000    0.000    0.000    0.000 crs.py:940(is_exact_same)
        4    0.000    0.000    0.000    0.000 construction.py:676(_sanitize_ndim)
        1    0.000    0.000    0.455    0.455 geodataframe.py:1284(to_crs)
        3    0.000    0.000    0.000    0.000 indexing.py:2488(convert_to_index_sliceable)
        6    0.000    0.000    0.000    0.000 config.py:579(_select_options)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        9    0.000    0.000    0.000    0.000 common.py:148(<lambda>)
        6    0.000    0.000    0.000    0.000 common.py:1420(is_1d_only_ea_dtype)
        5    0.000    0.000    0.000    0.000 flags.py:85(allows_duplicate_labels)
        1    0.000    0.000    0.000    0.000 managers.py:271(get_dtypes)
       24    0.000    0.000    0.000    0.000 base.py:324(ndim)
       11    0.000    0.000    0.000    0.000 common.py:362(apply_if_callable)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 nanops.py:588(nansum)
        1    0.000    0.000    0.000    0.000 generic.py:11443(_min_count_stat_function)
        7    0.000    0.000    0.000    0.000 array.py:358(__len__)
        4    0.000    0.000    0.000    0.000 frame.py:4271(_clear_item_cache)
        6    0.000    0.000    0.000    0.000 crs.py:350(_crs)
        7    0.000    0.000    0.000    0.000 blocks.py:500(dtype)
        6    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        4    0.000    0.000    0.000    0.000 series.py:708(_values)
        6    0.000    0.000    0.000    0.000 config.py:650(_warn_if_deprecated)
